"departamento_origen_etapa","departamento_destino_etapa","traslados","geom_origen","geom_destino","geom"
6760,6760,"447.7112051273909","0101000020E6100000BF9BCB5C8C584DC0F4489D56AC4641C0","0101000020E6100000BF9BCB5C8C584DC0F4489D56AC4641C0","0102000020E610000002000000BF9BCB5C8C584DC0F4489D56AC4641C0BF9BCB5C8C584DC0F4489D56AC4641C0"
6638,6805,"389.614264843582","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E6100000E6EC3C0D6A4C4DC02B0854A4F53041C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C0E6EC3C0D6A4C4DC02B0854A4F53041C0"
6756,6638,"360.92099376461573","0101000020E610000032BA5B44C3444DC006F82182523E41C0","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0102000020E61000000200000032BA5B44C3444DC006F82182523E41C0EC322B68A0734DC0660329705D3941C0"
6638,6756,"324.69125733970526","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E610000032BA5B44C3444DC006F82182523E41C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C032BA5B44C3444DC006F82182523E41C0"
6638,6560,"323.91690809777583","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E61000001219B785CB674DC02626BBC92A4E41C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C01219B785CB674DC02626BBC92A4E41C0"
6638,2014,"322.6870830549961","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E6100000698603338C324DC0F86B4621FB4A41C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C0698603338C324DC0F86B4621FB4A41C0"
6861,6638,"272.72349848709047","0101000020E61000008071990393404DC0D261B661654341C0","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0102000020E6100000020000008071990393404DC0D261B661654341C0EC322B68A0734DC0660329705D3941C0"
2014,6638,"267.43616849740494","0101000020E6100000698603338C324DC0F86B4621FB4A41C0","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0102000020E610000002000000698603338C324DC0F86B4621FB4A41C0EC322B68A0734DC0660329705D3941C0"
6638,6760,"259.93921787678903","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E6100000BF9BCB5C8C584DC0F4489D56AC4641C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C0BF9BCB5C8C584DC0F4489D56AC4641C0"
6497,6638,"240.12386129557922","0101000020E6100000BDBFF54C48944DC0DD2563059E4841C0","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0102000020E610000002000000BDBFF54C48944DC0DD2563059E4841C0EC322B68A0734DC0660329705D3941C0"
6756,6756,"234.34701711045807","0101000020E610000032BA5B44C3444DC006F82182523E41C0","0101000020E610000032BA5B44C3444DC006F82182523E41C0","0102000020E61000000200000032BA5B44C3444DC006F82182523E41C032BA5B44C3444DC006F82182523E41C0"
6840,6638,"220.4885537678162","0101000020E6100000772153D8224A4DC05DADDF0E4A4C41C0","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0102000020E610000002000000772153D8224A4DC05DADDF0E4A4C41C0EC322B68A0734DC0660329705D3941C0"
2001,6638,"206.85327102166445",NULL,"0101000020E6100000EC322B68A0734DC0660329705D3941C0",NULL
6266,6638,"194.70321801508433","0101000020E61000005299F70AF6934DC07E304FF5C62541C0","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0102000020E6100000020000005299F70AF6934DC07E304FF5C62541C0EC322B68A0734DC0660329705D3941C0"
6638,2011,"189.9196447178934","0101000020E6100000EC322B68A0734DC0660329705D3941C0",NULL,NULL
6539,6560,"170.58492455774524","0101000020E61000003482497EF85E4DC075D7C927025B41C0","0101000020E61000001219B785CB674DC02626BBC92A4E41C0","0102000020E6100000020000003482497EF85E4DC075D7C927025B41C01219B785CB674DC02626BBC92A4E41C0"
6638,6840,"170.34538552652194","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E6100000772153D8224A4DC05DADDF0E4A4C41C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C0772153D8224A4DC05DADDF0E4A4C41C0"
6364,6364,"163.7373690258732","0101000020E610000001018EC3717E4DC0E694FB5F475341C0","0101000020E610000001018EC3717E4DC0E694FB5F475341C0","0102000020E61000000200000001018EC3717E4DC0E694FB5F475341C001018EC3717E4DC0E694FB5F475341C0"
6515,6412,"159.97815376155987","0101000020E6100000FA742950275B4DC09DB1D737603E41C0","0101000020E61000006DF1CF8789634DC02E1D8967844141C0","0102000020E610000002000000FA742950275B4DC09DB1D737603E41C06DF1CF8789634DC02E1D8967844141C0"
6638,2013,"155.0561521570483","0101000020E6100000EC322B68A0734DC0660329705D3941C0",NULL,NULL
2001,2001,"147.062955037831",NULL,NULL,NULL
6560,6412,"145.8986139205742","0101000020E61000001219B785CB674DC02626BBC92A4E41C0","0101000020E61000006DF1CF8789634DC02E1D8967844141C0","0102000020E6100000020000001219B785CB674DC02626BBC92A4E41C06DF1CF8789634DC02E1D8967844141C0"
6560,6760,"140.10326798063988","0101000020E61000001219B785CB674DC02626BBC92A4E41C0","0101000020E6100000BF9BCB5C8C584DC0F4489D56AC4641C0","0102000020E6100000020000001219B785CB674DC02626BBC92A4E41C0BF9BCB5C8C584DC0F4489D56AC4641C0"
6638,6364,"133.44337542584714","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E610000001018EC3717E4DC0E694FB5F475341C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C001018EC3717E4DC0E694FB5F475341C0"
6412,6515,"121.53710324308075","0101000020E61000006DF1CF8789634DC02E1D8967844141C0","0101000020E6100000FA742950275B4DC09DB1D737603E41C0","0102000020E6100000020000006DF1CF8789634DC02E1D8967844141C0FA742950275B4DC09DB1D737603E41C0"
6760,6412,"120.04476327452637","0101000020E6100000BF9BCB5C8C584DC0F4489D56AC4641C0","0101000020E61000006DF1CF8789634DC02E1D8967844141C0","0102000020E610000002000000BF9BCB5C8C584DC0F4489D56AC4641C06DF1CF8789634DC02E1D8967844141C0"
2013,6638,"110.93455485771949",NULL,"0101000020E6100000EC322B68A0734DC0660329705D3941C0",NULL
6638,6266,"100.16435141108036","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E61000005299F70AF6934DC07E304FF5C62541C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C05299F70AF6934DC07E304FF5C62541C0"
6539,6539,"99.5955318891061","0101000020E61000003482497EF85E4DC075D7C927025B41C0","0101000020E61000003482497EF85E4DC075D7C927025B41C0","0102000020E6100000020000003482497EF85E4DC075D7C927025B41C03482497EF85E4DC075D7C927025B41C0"
6638,6497,"90.5912363212617","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E6100000BDBFF54C48944DC0DD2563059E4841C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C0BDBFF54C48944DC0DD2563059E4841C0"
2012,6638,"89.2342798999069",NULL,"0101000020E6100000EC322B68A0734DC0660329705D3941C0",NULL
6638,2015,"88.51220775316882","0101000020E6100000EC322B68A0734DC0660329705D3941C0",NULL,NULL
6760,6515,"88.48376569547287","0101000020E6100000BF9BCB5C8C584DC0F4489D56AC4641C0","0101000020E6100000FA742950275B4DC09DB1D737603E41C0","0102000020E610000002000000BF9BCB5C8C584DC0F4489D56AC4641C0FA742950275B4DC09DB1D737603E41C0"
6749,6805,"86.55892577427713","0101000020E61000004B36A6208F444DC044110795C51341C0","0101000020E6100000E6EC3C0D6A4C4DC02B0854A4F53041C0","0102000020E6100000020000004B36A6208F444DC044110795C51341C0E6EC3C0D6A4C4DC02B0854A4F53041C0"
6408,6638,"81.12229042766701","0101000020E61000009DF7DAA523534DC0DE83A14EB54C41C0","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0102000020E6100000020000009DF7DAA523534DC0DE83A14EB54C41C0EC322B68A0734DC0660329705D3941C0"
6861,6861,"80.1124721953752","0101000020E61000008071990393404DC0D261B661654341C0","0101000020E61000008071990393404DC0D261B661654341C0","0102000020E6100000020000008071990393404DC0D261B661654341C08071990393404DC0D261B661654341C0"
6515,6252,"76.13120294281484","0101000020E6100000FA742950275B4DC09DB1D737603E41C0","0101000020E6100000777D10FBB5624DC0E4917347122A41C0","0102000020E610000002000000FA742950275B4DC09DB1D737603E41C0777D10FBB5624DC0E4917347122A41C0"
6638,2012,"68.34355993095043","0101000020E6100000EC322B68A0734DC0660329705D3941C0",NULL,NULL
6805,6252,"64.57941603807731","0101000020E6100000E6EC3C0D6A4C4DC02B0854A4F53041C0","0101000020E6100000777D10FBB5624DC0E4917347122A41C0","0102000020E610000002000000E6EC3C0D6A4C4DC02B0854A4F53041C0777D10FBB5624DC0E4917347122A41C0"
6515,6760,"64.29816069574358","0101000020E6100000FA742950275B4DC09DB1D737603E41C0","0101000020E6100000BF9BCB5C8C584DC0F4489D56AC4641C0","0102000020E610000002000000FA742950275B4DC09DB1D737603E41C0BF9BCB5C8C584DC0F4489D56AC4641C0"
2014,2002,"61.98004090264745","0101000020E6100000698603338C324DC0F86B4621FB4A41C0",NULL,NULL
6638,6408,"56.61192991225768","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0101000020E61000009DF7DAA523534DC0DE83A14EB54C41C0","0102000020E610000002000000EC322B68A0734DC0660329705D3941C09DF7DAA523534DC0DE83A14EB54C41C0"
2008,2003,"1.260752688172043",NULL,NULL,NULL
2004,2015,"1.2606164383561644",NULL,NULL,NULL
6408,6408,"54.38626649370666","0101000020E61000009DF7DAA523534DC0DE83A14EB54C41C0","0101000020E61000009DF7DAA523534DC0DE83A14EB54C41C0","0102000020E6100000020000009DF7DAA523534DC0DE83A14EB54C41C09DF7DAA523534DC0DE83A14EB54C41C0"
6371,6756,"51.13077540571112","0101000020E6100000FF17FA653A484DC03830EF3AC14641C0","0101000020E610000032BA5B44C3444DC006F82182523E41C0","0102000020E610000002000000FF17FA653A484DC03830EF3AC14641C032BA5B44C3444DC006F82182523E41C0"
2011,6638,"50.44734697425794",NULL,"0101000020E6100000EC322B68A0734DC0660329705D3941C0",NULL
6861,2013,"48.22203668694918","0101000020E61000008071990393404DC0D261B661654341C0",NULL,NULL
2001,2014,"46.43199302077112",NULL,"0101000020E6100000698603338C324DC0F86B4621FB4A41C0",NULL
6497,6497,"46.36264427142624","0101000020E6100000BDBFF54C48944DC0DD2563059E4841C0","0101000020E6100000BDBFF54C48944DC0DD2563059E4841C0","0102000020E610000002000000BDBFF54C48944DC0DD2563059E4841C0BDBFF54C48944DC0DD2563059E4841C0"
6412,6760,"46.27358676552271","0101000020E61000006DF1CF8789634DC02E1D8967844141C0","0101000020E6100000BF9BCB5C8C584DC0F4489D56AC4641C0","0102000020E6100000020000006DF1CF8789634DC02E1D8967844141C0BF9BCB5C8C584DC0F4489D56AC4641C0"
6515,6805,"45.503835806094905","0101000020E6100000FA742950275B4DC09DB1D737603E41C0","0101000020E6100000E6EC3C0D6A4C4DC02B0854A4F53041C0","0102000020E610000002000000FA742950275B4DC09DB1D737603E41C0E6EC3C0D6A4C4DC02B0854A4F53041C0"
2012,6861,"45.404009496659924",NULL,"0101000020E61000008071990393404DC0D261B661654341C0",NULL
6252,6805,"44.83100874105474","0101000020E6100000777D10FBB5624DC0E4917347122A41C0","0101000020E6100000E6EC3C0D6A4C4DC02B0854A4F53041C0","0102000020E610000002000000777D10FBB5624DC0E4917347122A41C0E6EC3C0D6A4C4DC02B0854A4F53041C0"
6560,6364,"43.83172872852629","0101000020E61000001219B785CB674DC02626BBC92A4E41C0","0101000020E610000001018EC3717E4DC0E694FB5F475341C0","0102000020E6100000020000001219B785CB674DC02626BBC92A4E41C001018EC3717E4DC0E694FB5F475341C0"
6840,6840,"43.17819371622259","0101000020E6100000772153D8224A4DC05DADDF0E4A4C41C0","0101000020E6100000772153D8224A4DC05DADDF0E4A4C41C0","0102000020E610000002000000772153D8224A4DC05DADDF0E4A4C41C0772153D8224A4DC05DADDF0E4A4C41C0"
6735,6638,"42.308614806046315","0101000020E6100000EC20BF1F7DC24DC015E1AEC8411C41C0","0101000020E6100000EC322B68A0734DC0660329705D3941C0","0102000020E610000002000000EC20BF1F7DC24DC015E1AEC8411C41C0EC322B68A0734DC0660329705D3941C0"
6412,6805,"41.87005530331438","0101000020E61000006DF1CF8789634DC02E1D8967844141C0","0101000020E6100000E6EC3C0D6A4C4DC02B0854A4F53041C0","0102000020E6100000020000006DF1CF8789634DC02E1D8967844141C0E6EC3C0D6A4C4DC02B0854A4F53041C0"
6861,2012,"41.416809395711496","0101000020E61000008071990393404DC0D261B661654341C0",NULL,NULL
6568,6568,"41.14662877314612","0101000020E61000006A3440A5564F4DC0A183F6151F5341C0","0101000020E61000006A3440A5564F4DC0A183F6151F5341C0","0102000020E6100000020000006A3440A5564F4DC0A183F6151F5341C06A3440A5564F4DC0A183F6151F5341C0"
2002,2014,"40.40563844817121",NULL,"0101000020E6100000698603338C324DC0F86B4621FB4A41C0",NULL
2014,2013,"37.37099162275236","0101000020E6100000698603338C324DC0F86B4621FB4A41C0",NULL,NULL
2014,2014,"36.728250843887956","0101000020E6100000698603338C324DC0F86B4621FB4A41C0","0101000020E6100000698603338C324DC0F86B4621FB4A41C0","0102000020E610000002000000698603338C324DC0F86B4621FB4A41C0698603338C324DC0F86B4621FB4A41C0"
6805,6749,"36.306676519814445","0101000020E6100000E6EC3C0D6A4C4DC02B0854A4F53041C0","0101000020E61000004B36A6208F444DC044110795C51341C0","0102000020E610000002000000E6EC3C0D6A4C4DC02B0854A4F53041C04B36A6208F444DC044110795C51341C0"
6568,6560,"35.08854308057666","0101000020E61000006A3440A5564F4DC0A183F6151F5341C0","0101000020E61000001219B785CB674DC02626BBC92A4E41C0","0102000020E6100000020000006A3440A5564F4DC0A183F6151F5341C01219B785CB674DC02626BBC92A4E41C0"
2011,2012,"31.859297964815983",NULL,NULL,NULL
